text,Label
"Michael T,
Most people accept and ask for forgiveness without blaming someone else for their wrong doing.
Don't you think it is so untruthful/cowardice of Catholic clergies and their aids always blame someone else for their sins or point to others wrong doing instead?

""Let us hope that a reorganized SNAP or some new org of another name emerges that will work for the good of victims and be helpful to the Church in addressing the problems. Must not be angry all the time.""

Sure what to be angry all the time for, it just the clergies raped children, ruins children's/their families' lives or children kill themselves! Every parent knows instantly what to do with the rapist! Why is it that CI clergy claim that they do not know what to do? Is it really a sane person to pass the rapist around and around for thirty years to you?",1
"Sounds more like the Antifascists are the real fascists...hey Antifa, have you suppressed opposing speech yet today? Attacked those you disagree with? Burned any buildings or cars?Those fools are so stupid they actually think they are espousing Americans traits...

Definition of fascism 1 often capitalized : a political philosophy, movement, or regime (such as that of the Fascisti) that exalts nation and often race above the individual and that stands for a centralized autocratic government headed by a dictatorial leader, severe economic and social regimentation, and forcible suppression of opposition",1
"Lying slut slut slut, wants money now",1
"Dictionary definition: Militia 1.(a) org., any military force...
Either you are too ignorant or stupid to read the first dictionary definition. The only ""Well-regulated Militia"" legally existing in the U.S. is those under the Department of Defense. Your definition only applies to those white supremacist private militia created by your fellow racists and bigots under Posse Comitatus idiocy roaming the nation to intimidate government employees and scared citizens. The current examples sitting in jail in Oregon. A ""Well-regulated Militia"" has been in existence for most of the history of the nation without any need for civilian weaponry to defend it. The only need for civilian weapons is for hunting or protection; therefore all should be licensed and registered with full background checks before ownership like any other threat to other citizens in the wrong hands.",1
"""hadn't been out hunting it..."" he said!
but he was at a far enough distance away that he couldn't identify it, so the first thing that entered his feeble mind was...
KILL IT!!!!
why was he carrying a rifle large enough to kill a buffalo? afraid of bear? they are asleep.
why did he shoot it from a distance that he couldn't tell what he was shooting at? why did he shoot at all? if he is so ignorant to do something like this, he probably would have taken a shot at a human being also.",1
Well its official 51 vs 49. Yea! Victory Victory is our cry! Dumb republicans. Shame they didn't just support single pay health care. Well maybe now they will. lololol,1
"It's great that their community can preserve something important to them. The one issue I'd take up with the author is with his repeated reference to lack of government support:
""Despite virtually no government support for our language""
""Governments have not considered our language worth supporting""
It's not the government's role to preserve someone's culture. Silly assumption.",1
"More baloney. WA Post reported emails of Manafort turning down efforts regarding Russia. AND, there is nothing wrong with any candidate having contact with a foreign leader. Last, there is no way Putin himself would have been involved in any ""collusion"" directly. Like saying Don Corleone was going to directly rub out someone.",1
"Workaholic ... you mean the Pres who takes of every weekend and goes golfing. Lol - what a sick joke that is. So far his biggest job has been throwing rolls of paper towels at Puerto Ricans .

And when he's not on the golf course he spends most of his time on the porcelain throne tweeting out idiot comments.",1
"yep , always someone elses fault . Yet another hateful bully racist . Why dont you go crawl under a rock ?",1
Not to mention indiscriminate barrel bombing women and children. Assad is a butcher with no morals.,1
The Chinese aren't stupid enough to believe anything that comes out of his mouth...in any language.,1
"C: Yeah, this issue is about Anchorage, not the federal government. Apparently you don't understand the difference. You have no idea who anyone voted for but that doesn't stop your inane rantings. You need to get a life.",1
"The mom is a scumbag, I remember thinking that after her comments on her other sons murder charges. Lock her up with the rest of the degenerates!",1
WTF is hamilton smoking? He needs some mindless words from willams to inspire him? The problem with the internet is reportig non news like williams baby and hamilton is a moron,1
"Unfortunately, Putin is far from stupid. Two stupid people working together might be safer - at least they could be controlled by their party handlers. One incredibly shrewd and absolutely unscrupulous actor (Putin was high up in the KGB, remember - those people weren't stupid) manipulating the other like a cheap marionette is a recipe for danger. It reminds me of nothing as much as the relationship between a certain German leader of the previous century and his unwitting Italian accomplice.",1
"He wanted to start a family in Syria but he's not Syrian. 

In other words he wanted to be a Islamist colonialist settler, establish an Islamic state or caliphate in Syria, steal land and property from Syrians and kick the Syrians out of their own country or else kill them.

The Syrian people did not invite these Islamist terrorist scum into their country.

Good thing this piece of garbage is history as far as I am concerned.",1
"At this point I am not convinced anything could stick on him.

The man could get caught having sex with a goat and blow it off and no one would care.

Except the goat....",1
"Trump is a smuck, should be fired. in the first 3 days
new news Trump to hire his own news team, which we will have to trust. Called RT-Trump.",1
This article is pure rubbish.,1
"So, this would be the alternative to the nuclear deal dressed up as a pigs ear? 

Oops, sorry, silk purse...",1
We need to knock the hell out of ISIS.,1
"You know, honestly many are just loosing hope anymore. This hateful group of cowards are successfully destroying the United States. Look at how many likes he got for suggesting such a thing. They don't think about wether it's the right person, the right to a defense etc.. They are like a bunch of junk yard dogs. It's almost amusing how Trump manipulated them to gain power isn't it? These people have no thought process in regard to their condemnation. I guess the Middle East won after all because these idiots gave them their way. Divide and conquer is easily done with the stupid, manipulated and afraid. Trust this, that lot will be the first ones to bend over and give Hitler their guns when asked lol!",1
"Serafim Saovskii, your hatred of Jews has evolved over time in its manifestations and disguises and one can see all three forms in abundance here. Read some history and maybe you'll understand a thing or two about reality. Your antisemitism is disgusting.",1
"These ""alaskans"" sound like a bunch of fnken slaves! They aren't alaskans but crybabies who are afraid of being left without a parental figure to take care of them. Always preferring job security and status quo over brutal freedom. Tundra ain't California. Annoying.",1
"Trump is comically thin-skinned and the press is making him look stupid, so of course he's going to do whatever he can to sideline them, try to lift up those ""alternative"" news outlets that are friendly to him to take their place, and make up whatever positive spin he can to convince himself, and his followers, that he's on top of his game.

When it doesn't work he's going to get frustrated and bored, and then someone like Jared Kushner will be the functioning president, forwarded in the next election cycle as Trump's successor---And Trumpkins across the nation will fawn all over him, for whatever that'll be worth. 

Hopefully the economy won't be in a tailspin by then, but if it is, they'll have a newly minted democratic congress and senate to blame it on...",1
Are you trying to say that black people are more likely to be mentally ill murderers?,1
"Jan, in all honesty I could always appreciated a women who could suck start a Harley...irregardless of her politics or cooking ability.",1
"Trump has been around this long only because he’s a white guy with tons of white privilege. He should have been gone a long time ago, especially after screaming “tell ‘em to go f**k themselves” at a campaign and bragging about being able to grab women by their pu**y because he’s rich and famous.",1
I hope all you Far Left whiners don't go out and commit suicide based on the Comey hearing today. Your leadership and the news media has led you over the cliff with their fictitious articles and speeches. You need to go back to the election and not accept the false narrative that Clinton lost the election because of the Russians. Clinton lost because she was a poor candidate under investigation by the FBI. Get over it.,1
"That idiot, Pelosi, was complaining that the POTUS wasn't visiting the countries he's visiting on this trip alphabetically.",1
None of these cars corner worth a damn with your erection stuck in the steering wheel.....,1
"This is more than just ""rich"" skiers. Summer traffic up there can be brutal as well. Driving I-70 on just about any weekend, summer or winter kinda sucks these days.

Otherwise, I agree with you",1
"""Councilmembers Ron Menor, Ikaika Anderson, Joey Manahan, Kymberly Pine and Brandon Elefante joined Ozawa"" These are the ones that need to be voted out next election! Bunch of clowns.",1
Obviously you are the one as dumb as a rock. The Donald said that he would before he said he wouldn't. That makes him a LIAR. You may continue to believe he is not but this conversation is over.,1
Canada with seat on the U.N security council means NOTHING unless Canada has some magical influence over Russia and China. This is just a pipe dream for Little PM Pixie Dust. Wake up Canada before this intellectual moron gets us into a war.,1
"No, but as his butt boy like our Justin Credible.",1
"another lib troll of complete stupidity, our child PM hasnt handled anyone , he pays off people but handles no one that matters,, trump is running over our pm , this kid is about gender bs not business and trade.. you ignorant shill liberals hate to admit this so we continue to see this kind of ignorant lying propaganda that doesnt work and will prove you libs out of office in a few years...",1
"The Trudeau liberals are trying once again to fix a problem that doesn't need fixing. Canada does not have the extremes of wealth and poverty of the US. 

He is tying to pass off tax credits targeted specifically for the middle class as tax breaks for the wealthy. Seriously? Do you think the rich need a fitness tax credit or a tax credit for their bus pass? lol

These guys are morons.",1
"Indians are already started a race war ,it is just that white people aren't biting. Indians have already killed one person with their night hunting. Indians would rather complain then address a problem.",1
Stick your head between your knees and kiss your okole goodbye.,1
"You aren't that dumb are you, really. Gender police? I'm pretty sure that if you line up 100 people, I can tell if they are male or female. Go back to smoking your hooch and watching CNN.",1
"YOU ARE SO FULL OF SHIT......THE MORE HE ATTACKS PRESS.....,THE MORE I LOVE HIM",1
"People who won't let Trump (the 2016 electoral winner) do whatever he wants in office are despots. Also known as Democrats and Hilary Clinton.

(Constitution be damned. And if you disagree, you're a despot.)",1
"Bruce IS a born and raised there Californian. 
And he is Pure WT. 
That moron is doing as much damage as he can thoughout his life. 

Considering that the dems are NOT the ones that run up massive debts, but the GOP does, says that you should fear the GOP much more. 
For example, 2/3 of COlorado's debt comes from Owens and the GOP. 
It is no different in the federal budget. It is the GOP that continues to blow through money. 
ACA was fully funded, and now, the GOP is purposely playing games and driving the price up.
OTOH, the Medicare Part D that was created by the GOP and voted in by the GOP, cost MORE than ACA, serves a small fraction of citizens, and was not funded for a single penny. It all comes from general revenue.",1
The article says he confessed and they caught him doing the killing. How in the hell can he plead not guilty??? Why spent time and money screwing with this person. Sent him to the gas chamber in what ever state still has one and uses it!!!,1
"A day late and a dollar short. And then to slam the CEO of Merck Pharmaceuticals for quitting his post on Trump's manufacturing council over Trump's initial response show just how much of racist bigot he is.
Deflect to Obama all you want. Trump is still a racist bigot and he is currently the POTUS not Obama.",1
The ninth district should be broken up. It makes no sense that liberal states like California and states like Idaho under the same liberal idiots. If the justices were elected by the people it would be a different situation.,1
And the hits just keep on coming. Nunes is as crooked as Trump.,1
"Let's see, Tory, Wynne, Trudeau, Nutley, etc: A nasty disaster is in store for us Canadians",1
"Jews are the worst people on the planet. They lie, cheat, and destroy entire nations. They have no boundaries, moral or ethical, when it comes to dealing with the gentiles. They only thing they worship is the almighty fiat money. Those are facts.",1
"I called in to report a lady today on W. 11th in a Blue 4-runner just goofing off with her phone in hand who almost hit me. She was weaving in and out of lanes with no signals, being oblivious. Then this idiot acted like I was wrong for noticing. I don't play around, I got her plates, description and called it in right away. I doubt anything was done.
Sadly, most drivers don't care and rarely do law enforcement. My guess is EPD didn't even respond. How many does it take to die over a darn phone?",1
"Nice try Putin. We're not as dumb as you need us to be, sorry.",1
I will never give it up. You may not mind that the president has broken tradition but I sure do. He has lied and so I will always remind people like you who forget that we have a big fat liar for president.,1
"Because liberals want everything their way, and if you disagree in any way with them you're ""ignorant"". They are mad Trump does the crap that they do to conservatives all the time. Do you think Obama would allow an interview with a bunch of conservative news paper columnists asking hard questions? He never did.",1
An excellent idea! Boot out the liars and fakes from cnn and other hack jobs. Get to business and get things done without a bunch of snowflakes asking rigged stupid questions.,1
You sound jealous. And you sound like a typical troll.,1
Bullshit. If you are black the rules are different.,1
Trump is a freaking moron. His lack of foreign policy is frankly dangerous. Other US officials have to constantly walk back his bluster. He so unqualified it's embarrassing. This isn't a land deal. We are talking about lives and peace at stake.,1
"Begging for war by the insane : Trump, ain""t no big deal?
who knew?",1
"So the jerk making false arrest threats was an ATF agent. Should ""we the people"" be less worried, or MORE?

""Official business""? Bull!",1
Crooked lieberals. Any surprise ?,1
"But didn't matter damaging my country's reputation with a fucked up show! Tourists come here and believe that a jungle is a stroll. Wrong, hence the consequences.",1
"Some of these comments are obviously from Syria's useful idiots. 

Look, even if it is the rebels who used the gas, what choice did they have? Assad is a monster, and with Putin's backing he is winning. What are they supposed to do, just let him? Not everyone gets to survive war. Sometimes innocents are sacrificed. It's ugly but the rebels need our support and showing the world the risks is justified.",1
"Yep. Thing is, it's also falling on the Democrats. This ""ban"" originated during the Obama administration by Obama himself. The Dems do this garbage too. But it's rare I hear their supporters have issue with it until a Republican does it.",1
This is the lowest mud slinging yet from Trudeau; dirty dirty dirty,1
"Does this nutcase not realize how many people died on 9/11? Does she really think her losing the Pres election equates to that many lives being lost? Rather than blame Russia, Comey, Bernie, etc., why doesn't she just ask those of us who voted for Obama but not her why we didn't vote for her. She will hear about a lack of accomplishment, bad decisions, the Clinton Foundation, the arrogance, the corruption. She will hear many of us made our minds up the day she forced herself, I mean announced her candidacy. She ran a horrible campaign. We saw it. We lived through it. She makes herself look foolish when she offers these lame untrue excuses.",1
"Oh no, Sara. America stands tall and ready to give tRumpity the bumpity. I can't wait to stand in line and give him a swift kick.",1
What we need is more people that care about themselves and quit being ok with just being street trash,1
"""Mr. Trump has done more for Americans in under 100 days than Obama did in 8 years.""
Come on Dolphin, that's just ridiculous.",1
Voter fraud?!?! Do you believe that he won 335 electoral colleges and 51% popular vote in a fradulent way? Should everything you don't like be regarded as fake? Donkeys think better than you. Shameful idiotic trumpler. You are simply a burden for this country,1
"Perhaps the debate does belong in Congress, but as we all know, the Republican led Congress is incompetent.",1
"So abject stupidity is a prerequisite for getting a CNN show?? Does Jimbo realize that the poem he so reverently worships was written as part of a fund raiser for the SOL pedestal? Nah I didn't think so. As far as Trump wanting to control the ethnic make-up of our country, so what?? The Democrats openly stated their determination to make America ""browner"" when they drastically altered the immigration policies 50 years ago. (They even said America would be ""better"" if we changed to a ""brown"" country without explaining why). The level of self-hate and loathing with liberals is appalling.",1
"Trudeau is so pathetic leader that he actually says he will do local meetings with Canadians rather then go to Trump's inauguration?.....what a bunch of B.S, When has Trudeau ever not wanted to do ""selfies"".",1
"The Trudeau cabinet members and staff appear to have no sense of ethical responsibility.
Brison's response is cavalier and shows he is completely unaware that this is a serious allegation of impropriety.
Having a gay husband doesn't give him a free pass.",1
Us hard working taxpayers continue to get raped financially by this liberal government!!! Sorry folks but every single person in this country has some form of injustice done to them - now does that mean that every injustice needs to be financially compensated?? I think the government might as well hand over $10 million cash to everybody to solve all the problems since they seem to think handouts solve the problems. This is really getting stupid!!!,1
"Comey, just another lying law enforcement official. And to think he actually was the top dog at th FBI.",1
My favorite is the piece done on two women that said Trump harassed them. The reporter made up a whole bunch of things that the women said they never did say. The NY Times is the slim of so called reporting. There are no respectful news outlets left in this country. They get a story and add all their own views and not telling the real stuff. The news these days is just a hunk of crap. Except when the Post says the Bronco's are gong down the toilet.,1
"As Matt Taibbi aptly described these hooligans:

""...these people may be dangerous, but their boundless self-pity, their outrageous sense of entitlement and their slapstick incompetence as rebels and terrorists are absolutely ridiculous.""",1
"I believe your whole post is contained in your last sentence, but I can't personally appreciate the jolly remarks about Trump and Spicer. They are both LYING INTENTIONALLY to the American people, and even with my twisted sense of humor I can't chuckle or even snort. I applaud almost everything you write, so this isn't meant as a criticism...what those two buffoons are doing should be halted, and damned fast. 

Blessings to you (anyway). 😎",1
"""Imagine what the black market/dispensary weed contains?""

Yes, just what we need in this discussion: more of the imaginary. The imaginary has been haunting MJ since 1923 when it was outlawed in Parliament without debate; the imaginary is what led it to being added to the Narcotic Control Act of 1961, which had the dubious honour of placing cannabis on a controlled substances list with heroin, cocaine, and, ultimately, meth-amphetamines; and the police-imaginary helped fuel public beliefs in growers as gangsters (which I refute above).

And we'll have to go on imagining, since Federal policymakers at Health Canada and elsewhere have rigged things so that independent labs are not legally permitted to test dispensary MJ or they could lose their lab licences. So, thank you, once again HC for perpetuating ignorance and risking the health of CDNs! A level of hypocrisy not seen since Tony Clement left his post as Min. at HC.",1
"Junior is either an uneducated moron or a shameless pathological liar. Frankly I’ll argue it’s both. No matter how many times these shameless liars claim we hate Latino’s the issue remains; we hate illegal immigration and our laws not being enforced. As for this profound stupidity demonizing our corn, this staggering hypocrite has absolutely no problem with Mexico exporting cheap agriculture produce to America that created thousands of jobs in Mexico and South America. While Junior laughably claims we have killed thousands of corn growing jobs in Mexico, this clueless wonder says nothing of the tens of thousands of manufacturing jobs we exported to Mexico.
As for our unconstitutional illegal war on drugs, this has exposed naked just how corrupt the Mexican government is. Legalize all drugs and Mexico is still ran by criminals as they have ALWAYS been a corrupt country.",1
Bull shit there is no Race about it so let's not even go there to nsf it had to end up with someone dying over stupidity,1
"THAT WAS MY POINT, DICK. Holy hell. Christians=Muslims. It's all the same.",1
"We require people to take a test before granting them a license to drive, but any idiot can have children, and as many of them as possible. This guy should be required to undergo a vasectomy.",1
"And Women are still being oppressed, repressed, and distressed...even by an American president. Disgusting.",1
Ignorant and uneducated. Your intelligence is lacking at best. I'd be happy to debate you and embarrass you on the lack of factual information swimming around in your confused head.,1
"The idiocy of this trend is neatly captured in this joke: ""Please Sir, can I have some more...is it organic?""",1
"
look around, …you failed miserably.
.",1
Just kill the rail.,1
"these fools thought we held football higher than God, family and country. 
not me.",1
"Yet another policy of platitudes to add to the growing list of phony ""help the middle class"" non-existent platform promises. ""Historic Investment""...darn, Trudeau's dream catcher isn't working.",1
"Oh, btw, the stands are still full. Your 'majority' is a small group of flag waving racist nazis following a cowardly draft dodger.",1
Another IDIOT...........MILLIONS out there............,1
"""Whadda think Shanny, time's running down - should we run the ball a couple of plays and kick a field goal to win it?""
Shanahan: ""Nah, f#ck that: I'm sending in a pass play...""",1
"predictably you cannot refute the facts, and like an intellectually bankrupt coward deflect to mindless drivel. But that is expected from people like you. I did give you substance, but you ran like an intellectually bankrupt coward.",1
"With love that the Donald provides who needs hatred? lol 

I am not upset that Hillary lost but I am disgusted that we now have a president who has no idea of what the hell he is doing. I also dislike having a president who is dishonest. (He promised to release his taxes before he decided not to.) My question to you Wazdat is what will it take to wake you up to this fraud? Another economic meltdown similar to what we experienced under the prior republican president? I also am against wholesale corruption which this president is now giving us. 

Sad thing is the Donald has no idea what his job is. His desire to slash the budgets for the secretary of state and things such as NOAA are just stupid. Just curious, will you enlist if he gives us another war? But hay he sure sucks up federal money playing golf and traveling. Way to go.",1
"Actually, the Mayor of San Juan is a more experienced elected official and public servant than Donald J. Trump. 

She held her first press conference on the afternoon of the hurricane after herself having accompanied City officials making preliminary assessments of the damage, and specifically addressed the total obliteration of the housing built along the Martin Pena Canal.

She is absolutely right in pointing out that the island is only 100 miles by 35 miles, and that by now, basic relief supplies (water, fuel, food) could and should have reached any point on the island by appropriately sized military helicopter. 

She is showing better, smarter leadership than the thin skinned, sociopathic Trump.",1
"I applaud the French government for assuring that people can vote without fear of being attacked by some deranged idiot who thinks he can change the world with a bomb or a gun. 
The only party that gains from terrorism is the Front National. Hopefully fear will never triumph over reason. 
We'll see tomorrow.",1
"Ok, we don't care about your genitalia or confusion or whatever it is you do. Can't you just act normal and not broadcast your sexual identity to the world?",1
"Now maybe this defense will shut their holes and quit trying to blame, you all SUCK!",1
"Whan concluded, “for 67 years the LPGA has been following the rules as written” and he didn’t want to rush into changes simply because of the “anxiety and pain” after the ANA.

Archaic and ridiculous.",1
He’s been a hypocrite carney barker for years; this is just further confirmation of him being a degenerate.,1
"So the US browbeats the Saudis and OPEC into cutting output to bolster prices, then stabs everyone in the back with increases from shale oil produced in the US? Oil falls back to $40, Shale producers go back into hybernation, oil rises to $45 and they are back again. I see OPEC reverting to their full production again in retaliation and damn the torpedoes.",1
"I'm going to throw up :/ I will do all the design work and fabrication for free. Wait no, I forgot, the whole idea is so completely stupid. Fire everyone! I'm so bummed out because this is how ALL the government thinks. They can't think! They think they can think, but they can't.",1
"I remember my father often saying, ""It takes two to fight!"" when breaking up sibling scuffles. Advice from a Bill Cosby book on parenting was to punish both combatants, regardless of who said what to whom. Pres. Trump was quite correct to blame both sides of the Charlottesville conflict. 
Granted the white supremacists have a history of violence. But you can't sell the anti-protesters as meek, little lambs after their antics in MO and Berkeley. 
So yes, chastise both groups for their intolerance and violence.",1
"All hail ""The Ugly American,"" he's back, bigger and uglier.",1
"There was no discussion of the ""burka"" during the election. However, Harper and his gang of ignorant xenophobes lost the election because of their proposed niqab ban and their proposed ""snitch line"" — views and values that Canadians, by and large, found repugnant.",1
"Absolutely, Hillary and her band of bandits, with her foundation that stole billions, her emails, her massive immigration, Soros, #pizzagate, rape, murder, Podesta, HUMA embarrassment, Benghazi..yup Trump is right up there>>LOL<<<",1
"It provably too late now, however, if you CI clergies & religious all speak up with 'Christ-like integrity' against clergy sex abuses of children, this problem will end in no time!
Yet you unethical, pompous attitude of believe in religious superiority as a clergies/religious decide to support the rapes of children by your silence till your soul will 'burn in hell'.
You clergies/religious do not believe there is a living God who is immanent in children, do you?
You don't believe in Holy Mary who is the mother of all souls on earth, do you? 
If you do not believe in these spiritual realities on earth, just give up being a clergy/religious! 
I think we can do all better without you spiritual hypocrites!",1
"Good! Now let's hope it goes out of business altogether. The the rich, pampered babies can join Kapernick in the unemployment line. Couldn't happen to a better group of jerks.

My personal van on the NFL Began 15 years ago.",1
"I just finished reading ""Panic: The Story of Modern Financial Insanity"" by Michael Lewis. Four recent financial conflagrations are covered, with the inclusion of happy-talk columns before each, befuddled items during the panics, and post-panic articles that show we have not learned very much from them. 

Of course the final section is about the housing bubble (boosted by Greenspan) that investment banks are still totally responsible for, and for which they have not been sufficiently punished. Return of Glass-Steagall would bar investment banks from f**king over consumers, and would make consumer banking the dull business it should be. No chance of that. CNBC's Jim Kramer is unmasked, once again, as the idiot he has always been.

Now it's the credit card debt that is ballooning. I once gave a commencement address that, before delving into the expected high-toned prose, advised graduates to attack their credit-card debt (even before student loans) and to never incur it again.",1
they stuck with the serial wife cheater and sexual assaulter didn't they,1
........... said the blind dumb and deaf lemming.,1
"There are a lot of wealthy people who Declare alaska to be their residence - 
for those of us who simply love it here, and lived here when we used to have an income tax and didn't mind paying it – and had an employment tax for your first job, so that summer workers had to kick into support government too – The whining about paying for the place we love the opportunities we have is disgusting. If we don't want oil to pay for it, and we don't want to pay for it ourselves, at this and leave us many choices – does it.
?!?
The whining by the most wealthy among us, Who use in alaska residence just to avoid paying taxes elsewhere, and by those who have benefited the most from our good fortune, is especially disgusting,",1
"Potential??

Ridiculous. Tell me. Where do you draw the line? Are you out there with me protecting the lives in the nesting areas of piping plovers? Had that very discussion today with someone I was working with...she had no problem protesting development of that area because of the eggs of the wee birds...and then proceeded to tell me unborn children aren't life.

wth????",1
"I would like to know why the religion of ""peace"" promotes child predators? Muhammad even had interests in girls as young as 5 yet people worship him as a God. They even promote the killings of gay and lesbian people. Where in America do you see people doing this? Nowhere, Christians may not agree with homosexuality but at least they aren't cutting off heads.",1
Raise your hand if poaching near Native villages surprises you. Anyone? Anyone? Didn't think so. Idiots like this dolt don't give the bison herd a chance for long term survival.,1
"Mean, spiteful, liars, power abusers, willing to pervert justice for political power---all those traits Nixon is accused of having are now resident in the Democrat Party and leftwing journalists. Carl, YOU are Nixon. YOU are despicable.",1
And the Circus headed by the Clown goes on....,1
you do not know shi@t. quit commenting on every frickin article and keep your pie hole shut,1
The DUMBEST BUFFOON EXCUSE FOR A PRESIDENT THIS COUNTRY HAS EVER SEEN!,1
"only the ignorant left thing trump is a disaster when its the congress so far, trump is doing pretty good over all getting much done",1
"""High on stupid"". You nailed it! Millet: ""I guess I was stupid to wanna spend 32 million on new office digs. So heck, it will be less stupid to spend 12 million!"" Plus 6 million for remodeling and office furniture, 2 million for computers and networks, another 2 million a year for taxes, insurance, security and maintenance. Total: 20 million. Leasing existing space at the Atwood would be much less. But hey, what does money mean to a Millet when a fast talking real estate agent is trying to impress her. After all, it's someone else's money.",1
"Yet another group of right wingers who don't pay their bills. Bundy is a deadbeat. Patriot movement, deadbeats. Montana freeman, deadbeats. Sagebrush Rebellion, deadbeats. Why is the right so full of deadbeats?",1
"Not even close. You do not have to make a cake for a democrat, but you do have to make a cake for a gay.",1
"Cool. How's your uterus these days, Dick?",1
"Utterly useless article any economist should know that prices are tied to income.

As that has now become disconnected anyone who has any reasonable thought process knows it overseas money.

As we know Trudeau and it looks like Morneau like the Chinese money and ""investments"" in the Liberal Party and even Evan Siddal of CMHC has taken the side of the bankers and developers and says collecting data is ""racist""?

Canadians are fools who will be priced out of their own country unless they act.",1
More Garbage Journalism.,1
"From Lisa Bloom. Lisa Bloom is a Legal analyst for NBC News and Avvo, attorney and bestselling author. Bloom, a white woman, is a civil rights attorney and writer. You're citing hearsay, gossip, and malicious misinformation. Below are real indisputable facts.

""In our nation’s history, so many of the sickest most appalling crimes have been committed by whites. Yet no matter how sadistic the crime, no matter how young the victims, no matter how much fear is engendered in a community, no matter how much media attention and public discussion the crimes of whites engender, the race itself is never sullied."" 

Lisa Bloom also says white men are at the top of the list for gaining foreign visas to have sex with children. 85-percent in Latin America, she says.

Lisa Bloom also adds the most prolific serial killers in this country (America) are white men. And last, white women are known for killing their children.",1
"Disgusting, clueless lack of any respect for the name that they are supposedly representing , our name Canada, let alone the strong, men and woman of the past and future that have served and be killed, maimed. How could even the in conversation be brought up, let alone implemented for a space of time. What planet is this person from ?
Me thinks that someone is trying to justify their job and do not deserve such a position in this company ! Indeed Air Canada, please feel free in the future to drop the name !
Shame on this classless person.",1
"This ""phenomenon"" underscores a very salient point, within mine own mind.

Rather than individuals taking control of technology so as to utilize it within a positive manner, the have allowed technology to take control of them within a negative manner.

Turn OFF your damn phones and be human, once again!",1
"The man has some money to burn, stupidly, he is despised by the Socialists he supports and his crony money river doesn't run by his home anymore. He is an example how corruption can make a stupid person very rich.",1
Apparently the OrangePig is all excited. Every time the Pig Tweets I get this picture of it sitting on the toilet with its phone in its grubby little hands getting all red in the face over some insult or other. What a real leader.,1
"Everyone knows he's guilty as hell, only a brain dead moron doesn't see it!",1
"While it's true that all media make mistakes, it's foolish to brand all of them as the enemy. Yes, one should also keep the bullshit monitor turned on, should always be skeptical, but effectively putting Breitbart and its ilk in the same class as NYT, NBC, WaPo, CBC, etc. is just stupidly self-defeating.",1
Oh shut up.,1
"Mr. Barbour looks like an unremorseful schmuck in that photo. 
I hope the defense attorney lies awake at night after selling lies to an impartial jury of peers. Pathetic.",1
"these republican legislators are despicable. come on voters, remove these clowns from office.no one should promote these bills.",1
